bbl,bldg,m,og_address,zip code,cd,fc,ss,sa,cc,bin,dev_name,boro,units,transfer,new_address
3033340001,4,M,236 LINDEN STREET,11221,04,07,18,53,37,3338493,BUSHWICK II CDA (GROUP E),brooklyn,276, 7/18/2019,236 LINDEN STREET
3033340001,4,M,232 LINDEN STREET,11221,04,07,18,53,37,3338493,BUSHWICK II CDA (GROUP E),brooklyn,276, 7/18/2019,232 LINDEN STREET
3033340001,4,M,228 LINDEN STREET,11221,04,07,18,53,37,3338493,BUSHWICK II CDA (GROUP E),brooklyn,276, 7/18/2019,228 LINDEN STREET
3033340001,4,M,224 LINDEN STREET,11221,04,07,18,53,37,3338493,BUSHWICK II CDA (GROUP E),brooklyn,276, 7/18/2019,224 LINDEN STREET
3033340001,4,M,220 LINDEN STREET,11221,04,07,18,53,37,3338493,BUSHWICK II CDA (GROUP E),brooklyn,276, 7/18/2019,220 LINDEN STREET
3033340001,4,M,357 WILSON AVENUE,11221,04,07,18,53,37,3338493,BUSHWICK II CDA (GROUP E),brooklyn,276, 7/18/2019,357 WILSON AVENUE
3033340001,4,M,361 WILSON AVENUE,11221,04,07,18,53,37,3338493,BUSHWICK II CDA (GROUP E),brooklyn,276, 7/18/2019,361 WILSON AVENUE
3033340001,4,M,365 WILSON AVENUE,11221,04,07,18,53,37,3338493,BUSHWICK II CDA (GROUP E),brooklyn,276, 7/18/2019,365 WILSON AVENUE
3033340001,5,M,1389 GATES AVENUE,11221,04,07,18,53,37,3342119,BUSHWICK II CDA (GROUP E),brooklyn,276, 7/18/2019,1389 GATES AVENUE
3033340001,5,M,1393 GATES AVENUE,11221,04,07,18,53,37,3396593,BUSHWICK II CDA (GROUP E),brooklyn,276, 7/18/2019,1393 GATES AVENUE
3033340001,5,M,1397 GATES AVENUE,11221,04,07,18,53,37,3342119,BUSHWICK II CDA (GROUP E),brooklyn,276, 7/18/2019,1397 GATES AVENUE
3033340001,5,M,1411 GATES AVENUE,11221,04,07,18,53,37,3342119,BUSHWICK II CDA (GROUP E),brooklyn,276, 7/18/2019,1411 GATES AVENUE
3033340001,5,M,1415 GATES AVENUE,11221,04,07,18,53,37,3342119,BUSHWICK II CDA (GROUP E),brooklyn,276, 7/18/2019,1415 GATES AVENUE
3033340001,5,M,558 KNICKERBOCKER AVENUE,11221,04,07,18,53,37,3342119,BUSHWICK II CDA (GROUP E),brooklyn,276, 7/18/2019,558 KNICKERBOCKER AVENUE
3033340001,5,M,554 KNICKERBOCKER AVENUE,11221,04,07,18,53,37,3342119,BUSHWICK II CDA (GROUP E),brooklyn,276, 7/18/2019,554 KNICKERBOCKER AVENUE
