,bbl,bin,bldg#,m,direction,house_num,street_name,street_type,zip,full_address
1316,3021400026,3341975,1,,,333,ROEBLING,STREET,11211,333 ROEBLING STREET
1317,3021400026,3341975,1,,,323,ROEBLING,STREET,11211,323 ROEBLING STREET
1318,3021400026,3341975,1,,,321,ROEBLING,STREET,11211,321 ROEBLING STREET
1319,3021400026,3251681,2,M,,195,DIVISION,AVENUE,11211,195 DIVISION AVENUE
1320,3021410019,3341976,3,M,,255,HAVEMEYER,STREET,11211,255 HAVEMEYER STREET
1321,3021410019,3341976,3,,,253,HAVEMEYER,STREET,11211,253 HAVEMEYER STREET
1322,3021410019,3341977,4,,,188,MARCY,AVENUE,11211,188 MARCY AVENUE
1323,3021410019,3341977,4,M,,190,MARCY,AVENUE,11211,190 MARCY AVENUE
1324,3021410019,3251682,5,,,227,DIVISION,AVENUE,11211,227 DIVISION AVENUE
1325,3021410019,3251682,5,,,221,DIVISION,AVENUE,11211,221 DIVISION AVENUE
1326,3021410019,3251682,5,M,,225,DIVISION,AVENUE,11211,225 DIVISION AVENUE
1327,3021410019,3251682,5,,,223,DIVISION,AVENUE,11211,223 DIVISION AVENUE
1328,3030250070,3070826,5,,,139,SCHOLES,STREET,11206,139 SCHOLES STREET
1329,3030240001,3327883,1,M,,87,TEN EYCK,WALK,11206,87 TEN EYCK WALK
1330,3030240001,3327883,1,,,174,LEONARD,STREET,11206,174 LEONARD STREET
1331,3030240001,3327883,1,M,,89,TEN EYCK,WALK,11206,89 TEN EYCK WALK
1332,3030240001,3327883,1,,,178,LEONARD,STREET,11206,178 LEONARD STREET
1333,3030240001,3327883,1,,,176,LEONARD,STREET,11206,176 LEONARD STREET
1334,3030240001,3327883,1,M,,92,MAUJER,STREET,11206,92 MAUJER STREET
1335,3030240001,3327883,1,M,,90,MAUJER,STREET,11206,90 MAUJER STREET
1336,3030240001,3327883,1,M,,94,MAUJER,STREET,11206,94 MAUJER STREET
1337,3030240001,3327883,1,M,,91,TEN EYCK,WALK,11206,91 TEN EYCK WALK
1338,3030240001,3327883,1,M,,93,TEN EYCK,WALK,11206,93 TEN EYCK WALK
1339,3030240001,3327883,1,M,,95,TEN EYCK,WALK,11206,95 TEN EYCK WALK
1340,3030260001,3327889,10,M,,183,TEN EYCK,WALK,11206,183 TEN EYCK WALK
1341,3030260001,3327889,10,M,,180,MAUJER,STREET,11206,180 MAUJER STREET
1342,3030260001,3327889,10,,,176,MAUJER,STREET,11206,176 MAUJER STREET
1343,3030260001,3327889,10,M,,178,MAUJER,STREET,11206,178 MAUJER STREET
1344,3030260001,3327889,10,M,,182,MAUJER,STREET,11206,182 MAUJER STREET
1345,3030260001,3327889,10,M,,184,MAUJER,STREET,11206,184 MAUJER STREET
