,full_address,A,B,C,I,,,,,,
455,1798 STERLING PLACE,2,,,1,,,,,,
456,180 PALMETTO STREET,2,,,1,,,,,,
457,1800 STERLING PLACE,2,,,1,,,,,,
458,1802 STERLING PLACE,2,,,1,,,,,,
459,181 SCHOLES STREET,1,,,,,,,,,
460,1851 SCHIEFFELIN PLACE,4,3,,,,,,,,
461,186 TEN EYCK WALK,1,2,,,,,,,,
462,1870 SCHIEFFELIN AVENUE,4,,,,,,,,,
463,1881 SCHIEFFELIN PLACE,4,,,,,,,,,
464,1891 SCHIEFFELIN PLACE,5,,,,,,,,,
465,191 WOODBINE STREET,2,1,,1,,,,,,
466,200 PALMETTO STREET,2,,,1,,,,,,
467,210 BROADWAY,1,,,1,,,,,,
468,210 PALMETTO STREET,5,2,,1,,,,,,
469,214 MAUJER STREET,7,,,,,,,,,
470,225 BUFFALO AVENUE,1,,,,,,,,,
